Auteur,Texte,Sentiment,Date,Texte_nettoye
Université Virtuelle du Burkina Faso - UVBF,"Les étudiants de l' Université Virtuelle du Burkina Faso - UVBF ont effectué une visite de l'une des plus haute institution étatique : la Présidence du Faso. L'accueil, le chant de l'hymne nationale, la plateforme, les installations solaires de la présidence, la résidence officielle des chefs d'état, la salle polyvalente, l'historique et les photos des anciens présidents, furent les temps forts de cette visite. En cette visite j'en tire une remémoration d'une partie de l'hist… En voir plus",neutre,01/01/2019,tudiant universit virtuel burkina faso uvbf effectu visite lun plus haute institution tatiqu prsidence faso laccueil chant lhymne national plateform installation solaire prsidence rsidence officiel chef dtat salle polyvalent lhistoriqu photo ancien prsident temps fort ce visite ce visite jen tire remmoration dun partie lhist voir plus
Orange Digital Center,"J'ai passé une excellente année 2023 avec vous.
Vous m'avez été utile et je vous en suis reconnaissant.
Orange Digital Center 
Université Virtuelle du Burkina Faso - UVBF
AUF Burkina Faso 
Dargatech sarl 
Network Group Innovation 
Aneree 
AEEMB Burkina 
Business Club Manager",positif,01/01/2019,jai pass excellent ann maver utile reconnaître orange digital center universit virtuel burkina faso uvbf auf burkina faso dargatech sarl network group innovation anere aeemb burkina business club manager
Club Scientifique des Étudiants de l'Université Virtuelle du Burkina Faso,"Ma journée d'hier a été très instructive, j'ai eu à participer à la Conférence de lancement des activités du Club Scientifique des Étudiants de l'Université Virtuelle du Burkina Faso. Devoir de redevabilité, mes remerciements vont à l'endroit de notre chers Conférencier Dr. @Émile Ouedraogo, l'administration de l' Université Virtuelle du Burkina Faso - UVBF, l' AUF Burkina Faso, les membres du bureau du CSE-UVBF, particulièrement à M Salifou Haroun Ouamdande président du CSE-UVBF, Nānga Ibrahima Guiro le modérateur et l'ensemble des participants.
Longue vie au Club Scientifique des Étudiants de l'Université Virtuelle du Burkina Faso (CSE-UVBF).",positif,01/01/2019,journ dhier avoir tr instructif jai participer confrence lancement activit club scientifique tudier luniversit virtuel burkina faso devoir redevabilit remerciement aller lendroit cher confrencier dr ouedraogo ladministration universit virtuel burkina faso uvbf auf burkina faso membre bureau cseuvbf particulirement salifou haroun ouamdande prsident cseuvbf nnga ibrahima guiro modrateur lensembl participant long vie club scientifique tudier luniversit virtuel burkina faso cseuvbf
https://bit.ly/initiation_gsuite," 𝓕𝓸𝓻𝓶𝓪𝓽𝓲𝓸𝓷 !!
Club Scientifique des Etudiants de l'Université Virtuelle du Burkina Faso  et @Digibox organisent une formation d'initiation à Google Workspace.
Apprenez à utiliser les outils de la suite bureautique en ligne de Google !
Date: 11 et 12 septembre 2023 
Heure: 17h à 20h. 
Cette formation en ligne vous permettra d’apprendre à utiliser les outils de la suite bureautique en ligne de Google, tels que Gmail, Docs, Sheets, Slides, Meet, Agenda, Drive, Forms et Sites.
À l’issue de la formation, vous serez en mesure de :
Connaître et comprendre le mode de fonctionnement de Google Apps G-Suite
Optimiser le partage d’information en temps réel
Organiser et structurer son espace de travail
La formation est ouverte à tous les élèves, étudiants et professionnels quel que soit leur niveau de connaissances.
La participation est de 3000 FCFA.
Condition : Avoir un ordinateur !
Pour vous inscrire, veuillez suivre ce lien :
https://bit.ly/initiation_gsuite
WhatsApp : https://chat.whatsapp.com/KDhWfNCIBEC2iFTmEy5lKn
N’hésitez pas à partager cette annonce avec vos amis !
@flowers",neutre,01/01/2019,club scientifique etudiant luniversit virtuel burkina faso organiser formation dinitiation google workspace apprendre utiliser outil suite bureautique ligne google date septembr heure heure heure ce formation lign permettre dapprendre utiliser outil suite bureautique ligne google tel gmail docs sheet slide meet agender driv forms site lissu formation mesur connatre comprendre mode fonctionnemer google apps gsuite optimiser partage dinformation temps rel organiser structurer espace travail formation ouvert tout lve tudiant professionnel quel niveau connaissance participation fcfer condition avoir ordinateur inscrir vouloir suivre lien whatsapp nhsiter partager ce annonce ami
Network Group Innovation,"On vous y attend! 
NeNetwork Group InnovationrNetwork Group InnovationnNetwork Group InnovationClClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasocClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasoeClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasotClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasoeClub Scientifique des Étudiants de l'Université Virtuelle du Burkina Faso'Club Scientifique des Étudiants de l'Université Virtuelle du Burkina FasoiClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasouClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasouClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasoaClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasoSaSalifou Haroun OuamdandeaSalifou Haroun OuamdandeuSalifou Haroun OuamdandeIsIsmaël CoulibalyoIsmaël Coulibaly— avec Salifou Haroun Ouamdande et 
28 autres personnes
, à Cité Universitaire Patte D'oie.",neutre,01/01/2019,attendre nenetwork group innovationrnetwork group innovationnnetwork group innovationclclub scientifique tudier luniversit virtuel burkina fasocclub scientifique tudier luniversit virtuel burkina fasoeclub scientifique tudier luniversit virtuel burkina fasotclub scientifique tudier luniversit virtuel burkina fasoeclub scientifique tudier luniversit virtuel burkina fasoclub scientifique tudier luniversit virtuel burkina fasoiclub scientifique tudier luniversit virtuel burkina fasouclub scientifique tudier luniversit virtuel burkina fasouclub scientifique tudier luniversit virtuel burkina fasoaclub scientifique tudier luniversit virtuel burkina fasosasalifou haroun ouamdandeasalifou haroun ouamdandeusalifou haroun ouamdandeisismal coulibalyoismal coulibaly salifou haroun ouamdande autre personne cit universitaire patt doi
#colloque,"[Appel à communications] 
 Le Laboratoire LITICEF de l'Université Virtuelle du Burkina Faso - UVBF organise un #colloque international sur le thème ""Innovation(s) en Technologie de l’Information et de la Communication pour l’#enseignement et la #formation”.
 Vous avez jusqu'au 15 février pour envoyer votre proposition de communication.
 Tenue du colloque en présentiel et par visioconférence à #Ouagadougou, du 10 au 12 mai 2023.
Tout savoir sur l’évènement 
 bit.ly/3XNrb2y
 Pour toute information relative à cet appel : colloque1.liticef@gmail.com
#TICE #Afrique #chercheurs #recherche #éducation
𝐓𝐄𝐂𝐇𝐍𝐎𝐋𝐈𝐔𝐌 𝐏𝐋𝐔𝐒",neutre,01/01/2019,appel communication laboratoir liticef luniversit virtuel burkina faso uvbf organis international thme innovation technologie linformation communication jusquau fvrier envoyer proposition communication tenir colloqu prsentiel visioconfrence mai tout savoir lvnement bitlyxnrby tout information relatif ce appel colloqueliticefcom
Université Virtuelle du Burkina Faso - UVBF,Journée  de l'orientation  au profit des nouveaux  bachelier  .... valider  . Nous étions  au niveaux  du Siao stand Université Virtuelle du Burkina Faso - UVBF,neutre,01/01/2019,journe lorientation profit nouveau bachelier valider tion niveal siao stand universit virtuel burkina faso uvbf
Ecole Polytechnique de Ouagadougou - EPO,"SAWADOGO Cheik Ahmed, étudiant en génie logiciel à l'Université Virtuelle du Burkina Faso— à Ecole Polytechnique de Ouagadougou - EPO.",neutre,01/01/2019,sawadogo cheik ahmed tudier gnie logiciel luniversit virtuel burkina faso ecol polytechnique ouagadougou epo
Ouagadougou,"j'aimerais demander si les modérateurs où administrateurs peuvent accélérer pour la remise des ordinateurs pour que nous puissions l'apprendre pour bien suivre les cours. Merci d'avance— à Ouagadougou, avec GKévin Ouellé.",neutre,01/01/2019,jaimerai demander si modrateur o administrateur pouvoir acclrer remettre ordinateur puission lapprendre bien suivre cours merci davance ouagadougou gkvin ouell
https://www.campusfaso.bf/candidat/communiques," 𝗔𝗩𝗜𝗦 𝗔𝗨𝗫 𝗡𝗢𝗨𝗩𝗘𝗔𝗨𝗫 𝗕𝗔𝗖𝗛𝗘𝗟𝗜𝗘𝗥𝗦 - 𝟮𝟬𝟮𝟯 𝗘𝗧 𝟮𝟬𝟮𝟰
Test de recrutement d'étudiant en première année de licence dans les filières à test des universités publiques au titre de l'année académique 2024-2025.
 𝗗𝘂 𝟮𝟱 𝗷𝘂𝗶𝗹𝗹𝗲𝘁 𝗮𝘂 𝟭𝟬 𝗮𝗼û𝘁 𝟮𝟬𝟮𝟰
𝗦𝘂𝗿 𝘄𝘄𝘄.𝗰𝗮𝗺𝗽𝘂𝘀𝗳𝗮𝘀𝗼.𝗯𝗳 ( se connecter avec son ine et mot de passe puis cliquer sur <<𝐜𝐚𝐧𝐝𝐢𝐝𝐚𝐭𝐮𝐫𝐞 𝐭𝐞𝐬𝐭>> dans le menu.
NB: frais de dossier 15 500f payable sur la plateforme, toute candidature non payée n'est pas valide.
 Tous les détails ( les communiqués ) sur les conditions , les filières , les universités ainsi que toutes les autres candidatures (L1,L2,L3, Master, doctorat, DES, etc.) cliquer sur 
 https://www.campusfaso.bf/candidat/communiques
𝐁𝐨𝐧𝐧𝐞 𝐜𝐡𝐚𝐧𝐜𝐞 à 𝐭𝐨𝐮𝐬 !!!
Ministère Enseignement Supérieur, Recherche et Innovation 
Direction Générale de l'Enseignement Supérieur - DGESup - 
Université Joseph Ki-Zerbo 
Universite  Norbert  ZONGO 
Université Nazi BONI 
Université  de Ouahigouya-UOHG 
Université Virtuelle du Burkina Faso - UVBF 
Université Daniel Ouezzin Coulibaly 
Université de Fada N'Gourma 
Université Thomas Sankara officiel 
Ecole Polytechnique de Ouagadougou - EPO 
FONER Officiel 
CENOU Burkina 
CEFORGRIS-Université Joseph Ki-Zerbo 
#BurkinaFaso #Mesri  #campusfaso  #nouveaux_bacheliers #candidats #campusfaso #lwili #Opportunité #2024",neutre,01/01/2019,test recrutement dtudier premire ann licence filire test universit public titre lann acadmiqu connecter ine mot passer pouvoir cliquer menu nb frais dossier f payable plateform tout candidature non pay nest valide tout dtail communiqu condition filire universit ainsi tout autre candidature lll master doctorat etc cliquer ministre enseignement suprieur recherche innovation direction gnral lenseignemer suprieur dgesup universit joseph kizerbo universite norbert zongo universit nazi boni universit ouahigouyauohg universit virtuel burkina faso uvbf universit daniel ouezzin coulibaly universit fader ngourma universit thomas sankara officiel ecol polytechnique ouagadougou epo foner officiel cenou burkina ceforgrisuniversit joseph kizerbo
#BurkinaFaso," 𝗣𝗟𝗔𝗡𝗡𝗜𝗡𝗚 𝗖𝗔𝗠𝗣𝗨𝗦𝗙𝗔𝗦𝗢 𝟮𝟬𝟮𝟯 
 1ere session des demandes d'orientation dans les universités publiques et privées : du 𝟏𝟑 𝐚𝐮 𝟐𝟓 𝐚𝐨û𝐭 𝟐𝟎𝟐𝟑.
- résultats attendus autour du 𝟏𝐞𝐫 𝐞𝐭 𝟎𝟐 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝟐𝟎𝟐𝟑.
- session de paiement des frais d'inscription : 𝐝𝐮 𝟎𝟑 𝐚𝐮  𝟏𝟑 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝟐𝟎𝟐𝟑.
 2eme session (rattrapage) de demandes d'orientation : 𝐝𝐮 𝟏𝟓 𝐚𝐮 𝟐𝟓 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝟐𝟎𝟐𝟑.
- résultats attendus autour du 𝟏𝐞𝐫 𝐞𝐭 𝟎𝟐 𝐨𝐜𝐭𝐨𝐛𝐫𝐞 𝟐𝟎𝟐𝟑.
- 2eme session de paiement des frais d'inscription du 𝟎𝟑 𝐚𝐮 𝟏𝟎 𝐨𝐜𝐭𝐨𝐛𝐫𝐞 𝟐𝟎𝟐𝟑.
𝔹𝕆ℕℕ𝔼 ℂℍ𝔸ℕℂ𝔼 À 𝕋𝕆𝕌𝕊 𝕃𝔼𝕊 ℂ𝔸ℕ𝔻𝕀𝔻𝔸𝕋𝕊 𝔸𝕌 𝔹𝔸ℂ 𝟚𝟘𝟚𝟛 !!!
Ministère Enseignement Supérieur, Recherche et Innovation 
Université Joseph Ki-Zerbo 
Université Thomas Sankara 
Université Nazi BONI 
Universite  Norbert  ZONGO 
Université de Fada N'Gourma 
Université  de Ouahigouya-UOHG 
Université de Dédougou 
Université Virtuelle du Burkina Faso - UVBF 
Ecole Polytechnique de Ouagadougou - EPO 
#BurkinaFaso #mesri #universite #bac2023 #orientation #OrientationPostBac #campusfaso #etudiant",neutre,01/01/2019,ere session demande dorientation universit public prive rsultat attendre autour session paiement frais dinscription eme session rattrapage demande dorientation rsultat attendre autour eme session paiement frais dinscription ministr enseignement suprieur recherche innovation universit joseph kizerbo universit thomas sankara universit nazi boni universit norbert zongo universit fader ngourma universit ouahigouyauohg universit ddougou universit virtuel burkina faso uvbf ecole polytechnique ouagadougou epo
Ouagadougou,Étudiant qui veut ordinateur LENOVO peut m'appeler ou whatsapp 56786264  prix cadeau 65.000f— à Ouagadougou.,neutre,01/01/2019,tudier vouloir ordinateur lenovo pouvoir mappeler whatsapp prix cadeau f ouagadougou
