Auteur,Texte,Date
#colloque,"[Appel à communications] 
 Le Laboratoire LITICEF de l'Université Virtuelle du Burkina Faso - UVBF organise un #colloque international sur le thème ""Innovation(s) en Technologie de l’Information et de la Communication pour l’#enseignement et la #formation”.
 Vous avez jusqu'au 15 février pour envoyer votre proposition de communication.
 Tenue du colloque en présentiel et par visioconférence à #Ouagadougou, du 10 au 12 mai 2023.
T… En voir plus",01/01/2018
Ouagadougou,"𝗕𝗿𝗮𝘃𝗼 𝗮̀ 𝗹'𝗲́𝗾𝘂𝗶𝗽𝗲 𝗱𝘂 𝗰𝗹𝘂𝗯 𝘀𝗰𝗶𝗲𝗻𝘁𝗶𝗳𝗶𝗾𝘂𝗲 𝗱𝗲 𝗹'𝗨𝗩-𝗕𝗙 !
Hier soir, lors de la 14ème édition du FRSIT (Forum National de Recherche Scientifique et des Innovations Technologiques) au SIAO, une équipe de membres du club scientifique de l'université virtuelle du Burkina Faso a remporté le 4ème prix du meilleur projet.
L'équipe, composée de :
𝙲𝙾𝚄𝙻𝙸𝙱𝙰𝙻𝚈 𝚂𝚘𝚐𝚘 𝙱𝚛𝚒𝚌𝚎 𝙸𝚜𝚖𝚊𝚎̈𝚕, SG du CSE-UVBF;—  heureux, à Ouagadougou.
𝙽𝙸𝙺𝙸𝙴𝙼𝙰 𝙰𝚋𝚍𝚘𝚞𝚕 𝚁𝚊𝚣𝚊𝚌𝚔, Chargé à l'organisation;
𝙽𝙸𝙺𝙸𝙴𝙼𝙰 𝚃. 𝙶. 𝚂𝚝𝚊𝚗𝚒𝚜𝚕𝚊𝚜, sympathisant du CSE-UVBF. 
L'équipe a présenté un projet intitulé Home & Framework Security. Ce projet vise à munir le entreprises, commerce, domiciles et administration publique des détecteurs de fumées, de CO, de gaz GPL et de flamme tout-en-un afin de prévenir les incendies et leurs impactes dévastatrices au Burkina Faso en particulier et en Afrique en général. 
Le prototype est muni d'un système d'alarme et de GSM facilitant ainsi la prévention.
Nous sommes très fiers de nos membres pour leur travail acharné et leur dévouement. Cette récompense est une reconnaissance de leur talent et de leur engagement envers la science et l'innovation.
Nous vous encourageons à continuer à travailler dur et à poursuivre vos rêves. Vous êtes une source d'inspiration pour nous tous.
𝗙𝗲́𝗹𝗶𝗰𝗶𝘁𝗮𝘁𝗶𝗼𝗻𝘀 !
#FRSIT #HAKATHON #UVBF #CSEUVBF #INNOVATIONS",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Les étudiants de l' Université Virtuelle du Burkina Faso - UVBF ont effectué une visite de l'une des plus haute institution étatique : la Présidence du Faso. L'accueil, le chant de l'hymne nationale, la plateforme, les installations solaires de la présidence, la résidence officielle des chefs d'état, la salle polyvalente, l'historique et les photos des anciens présidents, furent les temps forts de cette visite. En cette visite j'en tire une remémoration d'une partie de l'hist… En voir plus",01/01/2018
Orange Digital Center,"J'ai passé une excellente année 2023 avec vous.
Vous m'avez été utile et je vous en suis reconnaissant.
Orange Digital Center 
Université Virtuelle du Burkina Faso - UVBF
AUF Burkina Faso 
Dargatech sarl 
Network Group Innovation 
Aneree 
AEEMB Burkina 
Business Club Manager",01/01/2018
Club Scientifique des Étudiants de l'Université Virtuelle du Burkina Faso,"Ma journée d'hier a été très instructive, j'ai eu à participer à la Conférence de lancement des activités du Club Scientifique des Étudiants de l'Université Virtuelle du Burkina Faso. Devoir de redevabilité, mes remerciements vont à l'endroit de notre chers Conférencier Dr. @Émile Ouedraogo, l'administration de l' Université Virtuelle du Burkina Faso - UVBF, l' AUF Burkina Faso, les membres du bureau du CSE-UVBF, particulièrement à M Salifou Haroun Ouamdande président du CSE-UVBF, Nānga Ibrahima Guiro le modérateur et l'ensemble des participants.
Longue vie au Club Scientifique des Étudiants de l'Université Virtuelle du Burkina Faso (CSE-UVBF).",01/01/2018
https://bit.ly/initiation_gsuite," 𝓕𝓸𝓻𝓶𝓪𝓽𝓲𝓸𝓷 !!
Club Scientifique des Etudiants de l'Université Virtuelle du Burkina Faso  et @Digibox organisent une formation d'initiation à Google Workspace.
Apprenez à utiliser les outils de la suite bureautique en ligne de Google !
Date: 11 et 12 septembre 2023 
Heure: 17h à 20h. 
Cette formation en ligne vous permettra d’apprendre à utiliser les outils de la suite bureautique en ligne de Google, tels que Gmail, Docs, Sheets, Slides, Meet, Agenda, Drive, Forms et Sites.
À l’issue de la formation, vous serez en mesure de :
Connaître et comprendre le mode de fonctionnement de Google Apps G-Suite
Optimiser le partage d’information en temps réel
Organiser et structurer son espace de travail
La formation est ouverte à tous les élèves, étudiants et professionnels quel que soit leur niveau de connaissances.
La participation est de 3000 FCFA.
Condition : Avoir un ordinateur !
Pour vous inscrire, veuillez suivre ce lien :
https://bit.ly/initiation_gsuite
WhatsApp : https://chat.whatsapp.com/KDhWfNCIBEC2iFTmEy5lKn
N’hésitez pas à partager cette annonce avec vos amis !
@flowers",01/01/2018
Network Group Innovation,"On vous y attend! 
NeNetwork Group InnovationrNetwork Group InnovationnNetwork Group InnovationClClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasocClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasoeClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasotClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasoeClub Scientifique des Étudiants de l'Université Virtuelle du Burkina Faso'Club Scientifique des Étudiants de l'Université Virtuelle du Burkina FasoiClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasouClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasouClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasoaClub Scientifique des Étudiants de l'Université Virtuelle du Burkina FasoSaSalifou Haroun OuamdandeaSalifou Haroun OuamdandeuSalifou Haroun OuamdandeIsIsmaël CoulibalyoIsmaël Coulibaly— avec Salifou Haroun Ouamdande et 
28 autres personnes
, à Cité Universitaire Patte D'oie.",01/01/2018
#colloque,"[Appel à communications] 
 Le Laboratoire LITICEF de l'Université Virtuelle du Burkina Faso - UVBF organise un #colloque international sur le thème ""Innovation(s) en Technologie de l’Information et de la Communication pour l’#enseignement et la #formation”.
 Vous avez jusqu'au 15 février pour envoyer votre proposition de communication.
 Tenue du colloque en présentiel et par visioconférence à #Ouagadougou, du 10 au 12 mai 2023.
Tout savoir sur l’évènement 
 bit.ly/3XNrb2y
 Pour toute information relative à cet appel : colloque1.liticef@gmail.com
#TICE #Afrique #chercheurs #recherche #éducation
𝐓𝐄𝐂𝐇𝐍𝐎𝐋𝐈𝐔𝐌 𝐏𝐋𝐔𝐒",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,Journée  de l'orientation  au profit des nouveaux  bachelier  .... valider  . Nous étions  au niveaux  du Siao stand Université Virtuelle du Burkina Faso - UVBF,01/01/2018
Ecole Polytechnique de Ouagadougou - EPO,"SAWADOGO Cheik Ahmed, étudiant en génie logiciel à l'Université Virtuelle du Burkina Faso— à Ecole Polytechnique de Ouagadougou - EPO.",01/01/2018
Ouagadougou,"j'aimerais demander si les modérateurs où administrateurs peuvent accélérer pour la remise des ordinateurs pour que nous puissions l'apprendre pour bien suivre les cours. Merci d'avance— à Ouagadougou, avec GKévin Ouellé.",01/01/2018
https://www.campusfaso.bf/candidat/communiques," 𝗔𝗩𝗜𝗦 𝗔𝗨𝗫 𝗡𝗢𝗨𝗩𝗘𝗔𝗨𝗫 𝗕𝗔𝗖𝗛𝗘𝗟𝗜𝗘𝗥𝗦 - 𝟮𝟬𝟮𝟯 𝗘𝗧 𝟮𝟬𝟮𝟰
Test de recrutement d'étudiant en première année de licence dans les filières à test des universités publiques au titre de l'année académique 2024-2025.
 𝗗𝘂 𝟮𝟱 𝗷𝘂𝗶𝗹𝗹𝗲𝘁 𝗮𝘂 𝟭𝟬 𝗮𝗼û𝘁 𝟮𝟬𝟮𝟰
𝗦𝘂𝗿 𝘄𝘄𝘄.𝗰𝗮𝗺𝗽𝘂𝘀𝗳𝗮𝘀𝗼.𝗯𝗳 ( se connecter avec son ine et mot de passe puis cliquer sur <<𝐜𝐚𝐧𝐝𝐢𝐝𝐚𝐭𝐮𝐫𝐞 𝐭𝐞𝐬𝐭>> dans le menu.
NB: frais de dossier 15 500f payable sur la plateforme, toute candidature non payée n'est pas valide.
 Tous les détails ( les communiqués ) sur les conditions , les filières , les universités ainsi que toutes les autres candidatures (L1,L2,L3, Master, doctorat, DES, etc.) cliquer sur 
 https://www.campusfaso.bf/candidat/communiques
𝐁𝐨𝐧𝐧𝐞 𝐜𝐡𝐚𝐧𝐜𝐞 à 𝐭𝐨𝐮𝐬 !!!
Ministère Enseignement Supérieur, Recherche et Innovation 
Direction Générale de l'Enseignement Supérieur - DGESup - 
Université Joseph Ki-Zerbo 
Universite  Norbert  ZONGO 
Université Nazi BONI 
Université  de Ouahigouya-UOHG 
Université Virtuelle du Burkina Faso - UVBF 
Université Daniel Ouezzin Coulibaly 
Université de Fada N'Gourma 
Université Thomas Sankara officiel 
Ecole Polytechnique de Ouagadougou - EPO 
FONER Officiel 
CENOU Burkina 
CEFORGRIS-Université Joseph Ki-Zerbo 
#BurkinaFaso #Mesri  #campusfaso  #nouveaux_bacheliers #candidats #campusfaso #lwili #Opportunité #2024",01/01/2018
#BurkinaFaso," 𝗣𝗟𝗔𝗡𝗡𝗜𝗡𝗚 𝗖𝗔𝗠𝗣𝗨𝗦𝗙𝗔𝗦𝗢 𝟮𝟬𝟮𝟯 
 1ere session des demandes d'orientation dans les universités publiques et privées : du 𝟏𝟑 𝐚𝐮 𝟐𝟓 𝐚𝐨û𝐭 𝟐𝟎𝟐𝟑.
- résultats attendus autour du 𝟏𝐞𝐫 𝐞𝐭 𝟎𝟐 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝟐𝟎𝟐𝟑.
- session de paiement des frais d'inscription : 𝐝𝐮 𝟎𝟑 𝐚𝐮  𝟏𝟑 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝟐𝟎𝟐𝟑.
 2eme session (rattrapage) de demandes d'orientation : 𝐝𝐮 𝟏𝟓 𝐚𝐮 𝟐𝟓 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝟐𝟎𝟐𝟑.
- résultats attendus autour du 𝟏𝐞𝐫 𝐞𝐭 𝟎𝟐 𝐨𝐜𝐭𝐨𝐛𝐫𝐞 𝟐𝟎𝟐𝟑.
- 2eme session de paiement des frais d'inscription du 𝟎𝟑 𝐚𝐮 𝟏𝟎 𝐨𝐜𝐭𝐨𝐛𝐫𝐞 𝟐𝟎𝟐𝟑.
𝔹𝕆ℕℕ𝔼 ℂℍ𝔸ℕℂ𝔼 À 𝕋𝕆𝕌𝕊 𝕃𝔼𝕊 ℂ𝔸ℕ𝔻𝕀𝔻𝔸𝕋𝕊 𝔸𝕌 𝔹𝔸ℂ 𝟚𝟘𝟚𝟛 !!!
Ministère Enseignement Supérieur, Recherche et Innovation 
Université Joseph Ki-Zerbo 
Université Thomas Sankara 
Université Nazi BONI 
Universite  Norbert  ZONGO 
Université de Fada N'Gourma 
Université  de Ouahigouya-UOHG 
Université de Dédougou 
Université Virtuelle du Burkina Faso - UVBF 
Ecole Polytechnique de Ouagadougou - EPO 
#BurkinaFaso #mesri #universite #bac2023 #orientation #OrientationPostBac #campusfaso #etudiant",01/01/2018
Ouagadougou,Étudiant qui veut ordinateur LENOVO peut m'appeler ou whatsapp 56786264; prix cadeau 65.000f— à Ouagadougou.,01/01/2018
https://goo.gl/maps/9iRAktW6meBP9X9a9,"Chers parents, chers enfants et chers passionnés de l’informatique !
Nous avons le plaisir de vous annoncer la 3ème édition de nos stages vacances, une collaboration exceptionnelle entre BAKO & N'DO Web Consulting, l'Université de Technologies et de Management (UTM), le Lycée Technique Bethel, et l'entreprise Meolink. Offrez à vos enfants âgés de 8 à 18 ans une expérience enrichissante dédiée à l’univers de la technologie et au développement personnel.
Nos stages vacances se dérouleront simultanément à l'UTM et au Lycée Technique Bethel en 2 sessions :
Session 1 : 1 juillet au 27 juillet 2024
Session 2 : 29 juillet au 24 août 2024
 Libérez le potentiel numérique de votre enfant lors de notre stage vacances en informatique de pointe ! 
Lieu  1 :  Université de Technologies et de Management (UTM) sis à Ouaga 2000, Localisation google maps : https://goo.gl/maps/9iRAktW6meBP9X9a9
Lieu 2 : Lycée Technique Bethel - Tanghin
Localisation Google Maps : https://maps.app.goo.gl/TkhU1kz1SM8vxPTAA
Programme des 4 semaines :
Semaine 1 : Initiation informatique, initiation à la bureautique et drones
Semaine 2 : Apprendre à coder avec Scratch, créer son site web avec HTML et CSS, et découvrir la réalité virtuelle et augmentée
Semaine 3 : Robotique et Développement personnel (Éducation financière et Prise de parole)
Semaine 4 : Hackathon pour les enfants
Tarif et Inscriptions :
Tarif pour une session (4 semaines de formation) : 65.000F (Déjeuner compris)
Réduction possible si vous inscrivez plusieurs enfants.
Notre Plus :
Des conseils personnalisés pour la poursuite d'études dans le domaine de l’informatique, avec des informations sur les écoles, formations et débouchés au Burkina Faso.
Inscription :
Remplissez le formulaire en ligne dès maintenant : https://forms.gle/XFJjgCpwEWw4pqa99
En fin de formation les enfants recevront le support de formation et un attestation de participation pour le stage vacances.
Contact :
Pour plus d'informations, n'hésitez pas à nous contacter :
Téléphone : 63 62 66 78 / 57 84 88 43 / 70 31 12 92
Email : commercial@bakondo.com
Ne manquez pas cette opportunité unique pour vos enfants de s'initier aux technologies de demain et de développer des compétences essentielles pour leur avenir !
Bien cordialement,
L'équipe BAKO & N'DO Web Consulting
BAKO & N’DO Web Consulting - Construire ensemble votre identité numérique",01/01/2018
Ouagadougou,Bonjour les membres— à Ouagadougou.,01/01/2018
#ordinateur,"Je liquide #ordinateur #LENOVO— à Ouagadougou.
Prix : 65.000F— à Ouagadougou.
Tout marche bien +5H d'autonomie/ core  i5 / 161giga / RAM 4giga— à Ouagadougou.
Appel et whatsapp 56786264— à Ouagadougou.
#Ouagadougou quartier #Balkuy— à Ouagadougou.",01/01/2018
Ouagadougou,si vous voulez quelque chose ont peux ecrire je suis en ligne toujours contacté Blessing Tech 05 25 89 45_ 67 26 00 74— à Ouagadougou.,01/01/2018
ordinateur.campusfaso.bf," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf… En voir plus",01/01/2018
#UVBF,"Retour sur la rencontre d'accueil et d'information pour les nouveaux étudiants de l'UV-BF !
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !
#UVBF #Rentrée2024 #NouveauxEtudiants #FormationEnLigne #AccueilEtInformation",01/01/2018
Lefaso.net,"Enseignement supérieur : 4060 nouveaux étudiants inscrits à l'Université virtuelle du Burkina Faso pour l'année 2024-2025
Les étudiants de l'Université virtuelle du Burkina Faso (UVBF) effectuent officiellement leur rentrée académique ce mardi 15 octobre 2024 à l'espace numérique ouvert situé à Karpala, un quartier de Ouagadougou. Cette rentrée est l'occasion de donner aux étudiants, toutes les informations nécessaires pour faciliter la poursuite de leur cursus universitaire.
Cette année, l'Université virtuelle du Burkina reçoit 4060 nouveaux étudiants. 
En attendant le début effectif des cours, ils sont réunis à l'espace numérique ouvert afin d'être outillés sur la prise en main de la plateforme de formation, mais aussi recevoir d'autres informations utiles, telles que la subvention pour l'acquisition d'ordinateurs, l'accès à la connexion, etc.
Sur ces deux derniers points, le Président de l'Université virtuelle, Pr Jean-Marie Dipama a souligné que pour les étudiants de son université, les ordinateurs sont subventionnés à hauteur de 85% contre 60% pour les étudiants des autres universités publiques et chaque étudiant à droit à 10 gigas par mois pour la connexion, afin de pouvoir suivre les cours. 
Créée en 2019, l'Université virtuelle du Burkina Faso a reçu ses premiers étudiants en mai 2020. Avec au départ 150 étudiants, l'Université virtuelle se retrouve aujourd'hui, cinq promotions plus tard, avec plus de 11 000 étudiants. 
Elle offre des formations de niveau licence et master dans les sciences fondamentales (Mathématiques, Physique, Chimie et Sciences de la vie et de la terre) et dans les sciences transversales (Géomatique, Lettres modernes, Sciences juridiques et politiques et Sciences économiques et de gestion). 
Lefaso.net",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Université Virtuelle du Burkina Faso - UVBF  informe les étudiants dont les noms figurent sur les listes ci-dessous qu'ils peuvent passer à l'Espace Numérique Ouvert de Karpala, du  𝟐𝟑 𝐚𝐮 𝟐𝟒 𝐉𝐮𝐢𝐥𝐥𝐞𝐭 𝟐𝟎𝟐𝟒 𝐚𝐟𝐢𝐧 𝐝𝐞 𝐫é𝐜𝐮𝐩é𝐫𝐞𝐫 𝐥𝐞𝐮𝐫𝐬 𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫𝐬 𝐝𝐞 𝐌𝐚𝐫𝐪𝐮𝐞 𝐀𝐒𝐔𝐒 𝐢𝟑.
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
- Chaque étudiant doit se munir de sa CNIB pour le retrait … En voir plus",01/01/2018
https://uv.bf/retrait-des-ordinateurs-de-marque-hp.../,"L’Université Virtuelle du Burkina Faso (UV-BF) informe les étudiants dont les noms figurent sur les listes ci-dessous qu'ils peuvent passer à l'Espace Numérique Ouvert de Karpala, ce Mardi 28 Novembre 2023 afin de récupérer leurs ordinateurs (Marques HP Celeron).
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
- Chaque étudiant doit se munir de sa CNIB pour le retrait de son ordinateur,
- Pour le retrait pour une tierce personne, vous devez disposer d'une procuration en bonne et due forme.
Consulter la liste ici : https://uv.bf/retrait-des-ordinateurs-de-marque-hp.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
ordinateur.campusfaso.bf," 1 𝗲́𝘁𝘂𝗱𝗶𝗮𝗻𝘁 1 𝗼𝗿𝗱𝗶𝗻𝗮𝘁𝗲𝘂𝗿 / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
 Assistant dépôt 77 14 81 14 
Livraison en mois d'une semaine
subventionnés par l'état à 85%
𝗚𝗿𝗼𝘂𝗽𝗲 𝗪𝗵𝗮𝘁𝘀𝗮𝗽𝗽
https://chat.whatsapp.com/Cq8XVx00ldHEHhGmWivMsp
#aiubf",01/01/2018
#Campus,"#Campus 
𝟏 𝐞́𝐭𝐮𝐝𝐢𝐚𝐧𝐭 𝟏 𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫 / 𝐔𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐭𝐞́ 𝐕𝐢𝐫𝐭𝐮𝐞𝐥𝐥𝐞 𝐝𝐮 𝐁𝐮𝐫𝐤𝐢𝐧𝐚 𝐅𝐚𝐬𝐨 - 𝐔𝐕𝐁𝐅 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordin… En voir plus",01/01/2018
#UVBF," Rencontre d'accueil et d'information pour les nouveaux étudiants de l'UV-BF !
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !
#UVBF #Rentrée2024 #NouveauxEtudiants #FormationEnLigne #AccueilEtInformation",01/01/2018
